time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
1.06,0,-1.69108709258126e-07,0.000164526316753955,0,6.37385854538911e-05,0,0,-1.30834670316613e-06,0.000625559944503554,0,0.000242354951941463,0,0.026
1.07,0,-1.82192176290119e-07,0.00017078191619907,0,6.61621349733057e-05,0,0,-1.3957674275821e-06,0.000643124398816068,0,0.000249160468138589,0,0.026
1.08,0,-1.96149850584248e-07,0.000177213160187317,0,6.86537396546916e-05,0,0,-1.48811874902181e-06,0.000661009194345401,0,0.000256090148799127,0,0.026
1.09,0,-2.11031038088727e-07,0.000183823252130677,0,7.12146411426829e-05,0,0,-1.58562775315462e-06,0.000679217019902027,0,0.000263145038657778,0,0.026
1.1,0,-2.26887315601942e-07,0.000190615422329621,0,7.38460915292606e-05,0,0,-1.68852970665248e-06,0.000697750559604059,0,0.000270326180745747,0,0.026
1.11,0,-2.43772612651405e-07,0.000197592927925594,0,7.65493533367181e-05,0,0,-1.79706819834121e-06,0.000716612493073236,0,0.000277634616469769,0,0.026
1.12,0,-2.61743294649452e-07,0.000204759052856385,0,7.93256995014158e-05,0,0,-1.9114952577896e-06,0.000735805495230378,0,0.000285071385536004,0,0.026
1.13,0,-2.80858247214688e-07,0.000212117107808607,0,8.21764133567758e-05,0,0,-2.0320716731113e-06,0.000755332236711148,0,0.000292637526114331,0,0.026
1.14,0,-3.01178963935111e-07,0.000219670430175734,0,8.51027886179191e-05,0,0,-2.15906724176969e-06,0.000775195383873375,0,0.000300334074844446,0,0.026
1.15,0,-3.22769636351694e-07,0.000227422384014575,0,8.81061293663636e-05,0,0,-2.29276084308984e-06,0.000795397598831324,0,0.000308162066852458,0,0.026
1.16,0,-3.45697244774623e-07,0.00023537636000287,0,9.11877500348882e-05,0,0,-2.43344073240798e-06,0.000815941539635419,0,0.000316122535823901,0,0.026
1.17,0,-3.70031652097147e-07,0.000243535775399317,0,9.43489753931272e-05,0,0,-2.58140479029517e-06,0.000836829860408064,0,0.000324216514059802,0,0.026
1.18,0,-3.958456999964e-07,0.000251904074003384,0,9.75911405337252e-05,0,0,-2.73696072682649e-06,0.000858065211471054,0,0.00033244503252954,0,0.026
1.19,0,-4.23215307243652e-07,0.000260484726118004,0,0.000100915590859021,0,0,-2.90042621875125e-06,0.000879650239336459,0,0.000340809120870874,0,0.026
1.2,0,-4.52219569457846e-07,0.000269281228511387,0,0.000104323682067729,0,0,-3.07212929045462e-06,0.000901587586994707,0,0.000349309807505189,0,0.026
1.21,0,-4.8294086235634e-07,0.000278297104381264,0,0.000107816780142781,0,0,-3.25240845006174e-06,0.000923879894010841,0,0.00035794811967847,0,0.026
1.22,0,-5.15464946837518e-07,0.000287535903321368,0,0.000111396261339566,0,0,-3.44161284733172e-06,0.000946529796500121,0,0.0003667250834556,0,0.026
1.23,0,-5.49881075284642e-07,0.00029700120128634,0,0.000115063512174122,0,0,-3.6401027419304e-06,0.00096953992754861,0,0.000375641723887135,0,0.026
1.24,0,-5.86282102699176e-07,0.000306696600561762,0,0.000118819929412993,0,0,-3.84824954926614e-06,0.000992912917102966,0,0.000384699064970476,0,0.026
1.25,0,-6.24764598167182e-07,0.000316625729732845,0,0.000122666920062698,0,0,-4.06643606342794e-06,0.00101665139216325,0,0.000393898129728518,0,0.026
1.26,0,-6.65428958823711e-07,0.00032679224365445,0,0.000126605901359983,0,0,-4.29505681300366e-06,0.00104075797696355,0,0.000403239940283654,0,0.026
1.27,0,-7.08379526981329e-07,0.000337199823424006,0,0.00013063830076282,0,0,-4.53451832744504e-06,0.00106523529321899,0,0.000412725517957556,0,0.026
1.28,0,-7.53724710256254e-07,0.000347852176356189,0,0.000134765555942395,0,0,-4.78523922537407e-06,0.00109008596003327,0,0.000422355883239493,0,0.026
1.29,0,-8.01577102527151e-07,0.000358753035956505,0,0.00013898911477479,0,0,-5.04765061324834e-06,0.00111531259427478,0,0.000432132055936301,0,0.026
1.3,0,-8.5205360866869e-07,0.000369906161899303,0,0.000143310435334153,0,0,-5.322196261565e-06,0.00114091781053454,0,0.000442055055160343,0,0.026
1.31,0,-9.05275571283504e-07,0.000381315340004684,0,0.000147730985885757,0,0,-5.60933289141884e-06,0.00116690422149916,0,0.000452125899478422,0,0.026
1.32,0,-9.61368900209703e-07,0.00039298438221963,0,0.000152252244880541,0,0,-5.90953046085139e-06,0.0011932744379572,0,0.000462345606918636,0,0.026
1.33,0,-1.02046420480395e-06,0.000404917126599125,0,0.000156875700949727,0,0,-6.22327233949983e-06,0.00122003106893273,0,0.00047271519502668,0,0.026
1.34,0,-1.08269692822294e-06,0.000417117437288395,0,0.000161602852899994,0,0,-6.55105566040144e-06,0.00124717672203936,0,0.000483235681007572,0,0.026
1.35,0,-1.14820748481348e-06,0.000429589204508696,0,0.00016643520971007,0,0,-6.89339151609215e-06,0.00127471400341006,0,0.000493908081703143,0,0.026
1.36,0,-1.21714140000062e-06,0.000442336344542882,0,0.000171374290527101,0,0,-7.25080528725719e-06,0.0013026455180403,0,0.000504733413729725,0,0.026
1.37,0,-1.28964945289578e-06,0.000455362799723191,0,0.000176421624664398,0,0,-7.62383688219746e-06,0.00133097386990214,0,0.000515712693527181,0,0.026
1.38,0,-1.36588782173597e-06,0.000468672538422144,0,0.00018157875159967,0,0,-8.0130409980212e-06,0.00135970166210319,0,0.00052684693742538,0,0.026
1.39,0,-1.44601823170998e-06,0.000482269555043213,0,0.000186847220973924,0,0,-8.4189874035995e-06,0.00138883149706674,0,0.000538137161718992,0,0.026
1.4,0,-1.53020810572668e-06,0.000496157870013947,0,0.000192228592591114,0,0,-8.84226119985235e-06,0.00141836597668981,0,0.000549584382733774,0,0.026
1.41,0,-1.61863071773682e-06,0.000510341529780856,0,0.000197724436418452,0,0,-9.2834631683458e-06,0.0014483077026583,0,0.000561189616953844,0,0.026
1.42,0,-1.711465349441e-06,0.000524824606807417,0,0.00020333633258799,0,0,-9.74320998640526e-06,0.00147865927643079,0,0.000572953881020617,0,0.026
1.43,0,-1.80889744932911e-06,0.000539611199571632,0,0.000209065871398196,0,0,-1.02221345081039e-05,0.00150942329957042,0,0.000584878191866726,0,0.026
1.44,0,-1.91111879438433e-06,0.000554705432567359,0,0.000214914653316864,0,0,-1.07208860450935e-05,0.00154060237382824,0,0.000596963566753729,0,0.026
1.45,0,-2.01832765484022e-06,0.000570111456305644,0,0.000220884288984401,0,0,-1.12401307134465e-05,0.00157219910144481,0,0.00060921102339445,0,0.026
1.46,0,-2.13072896199096e-06,0.00058583344732005,0,0.000226976399218345,0,0,-1.17805516913316e-05,0.0016042160852818,0,0.000621621580009586,0,0.026
1.47,0,-2.24853447888806e-06,0.000601875608172875,0,0.000233192615018441,0,0,-1.23428494539836e-05,0.00163665592899068,0,0.000634196255398699,0,0.026
1.48,0,-2.37196297342424e-06,0.000618242167462701,0,0.000239534577572428,0,0,-1.29277421638223e-05,0.00166952123724991,0,0.00064693606903795,0,0.026
1.49,0,-2.50124039508082e-06,0.000634937379835276,0,0.000246003938262808,0,0,-1.35359658378378e-05,0.00170281461595038,0,0.000659842041157768,0,0.026
1.5,0,-2.63660005345168e-06,0.000651965525994835,0,0.000252602358674385,0,0,-1.41682748480937e-05,0.0017365386724221,0,0.000672915192836696,0,0.026
1.51,0,-2.7782828019296e-06,0.000669330912718979,0,0.000259331510602752,0,0,-1.48254419549042e-05,0.0017706960155831,0,0.000686156546065104,0,0.026
1.52,0,-2.92653722150371e-06,0.000687037872874885,0,0.000266193076063403,0,0,-1.55082588287691e-05,0.00180528925616339,0,0.000699567123838164,0,0.026
1.53,0,-3.08161980977495e-06,0.000705090765436622,0,0.000273188747301785,0,0,-1.62175362604708e-05,0.00184032100699104,0,0.000713147950272949,0,0.026
1.54,0,-3.24379517235851e-06,0.000723493975506473,0,0.000280320226804514,0,0,-1.69541044600851e-05,0.00187579388303391,0,0.000726900050630967,0,0.026
1.55,0,-3.41333621695084e-06,0.000742251914336911,0,0.000287589227310824,0,0,-1.77188133106846e-05,0.00191171050174009,0,0.000740824451456535,0,0.026
1.56,0,-3.59052435006113e-06,0.000761369019354363,0,0.00029499747182539,0,0,-1.85125328664877e-05,0.00194807348326214,0,0.00075492218067029,0,0.026
